YEAR,Location,Death Rate,Deaths,URL
2017,WV,6.5,112,/nchs/state-stats/states/wv.html
2017,WI,3.7,202,/nchs/state-stats/states/wi.html
2017,WY,,19,/nchs/state-stats/states/wy.html
2016,AL,11.8,544,/nchs/state-stats/states/al.html
2016,AK,7.3,54,/nchs/state-stats/states/ak.html
2016,AZ,6.3,420,/nchs/state-stats/states/az.html
2016,AR,8.7,248,/nchs/state-stats/states/ar.html
2016,CA,5.3,2074,/nchs/state-stats/states/ca.html
2016,CO,4.3,235,/nchs/state-stats/states/co.html
2016,CT,2.7,88,/nchs/state-stats/states/ct.html
2016,DE,7,63,/nchs/state-stats/states/de.html
2016,District of Columbia,16.8,127,/nchs/state-stats/states/dc.html
2016,FL,6.8,1294,/nchs/state-stats/states/fl.html
2016,GA,7.9,806,/nchs/state-stats/states/ga.html
2016,HI,2.8,39,/nchs/state-stats/states/hi.html
2016,ID,1.9,30,/nchs/state-stats/states/id.html
2016,IL,9.2,1157,/nchs/state-stats/states/il.html
2016,IN,7.6,480,/nchs/state-stats/states/in.html
2016,IA,2.8,85,/nchs/state-stats/states/ia.html
2016,KS,5.3,147,/nchs/state-stats/states/ks.html
2016,KY,7.2,302,/nchs/state-stats/states/ky.html
2016,LA,14.3,648,/nchs/state-stats/states/la.html
2016,ME,,19,/nchs/state-stats/states/me.html
2016,MD,10.1,579,/nchs/state-stats/states/md.html
2016,MA,2.1,137,/nchs/state-stats/states/ma.html
2016,MI,6.7,624,/nchs/state-stats/states/mi.html
2016,MN,2.4,129,/nchs/state-stats/states/mn.html
2016,MS,12.1,345,/nchs/state-stats/states/ms.html
2016,MO,9.9,570,/nchs/state-stats/states/mo.html
2016,MT,4.3,42,/nchs/state-stats/states/mt.html
2016,NE,3.3,60,/nchs/state-stats/states/ne.html
2016,NV,7.4,211,/nchs/state-stats/states/nv.html
2016,NH,,18,/nchs/state-stats/states/nh.html
2016,NJ,4.6,395,/nchs/state-stats/states/nj.html
2016,NM,9.4,185,/nchs/state-stats/states/nm.html
2016,NY,3.6,696,/nchs/state-stats/states/ny.html
2016,NC,7.4,735,/nchs/state-stats/states/nc.html
2016,ND,,17,/nchs/state-stats/states/nd.html
2016,OH,6.5,721,/nchs/state-stats/states/oh.html
2016,OK,8.6,322,/nchs/state-stats/states/ok.html
2016,OR,3.3,129,/nchs/state-stats/states/or.html
2016,PA,6,723,/nchs/state-stats/states/pa.html
2016,RI,2.3,25,/nchs/state-stats/states/ri.html
2016,SC,9,426,/nchs/state-stats/states/sc.html
2016,SD,4.7,38,/nchs/state-stats/states/sd.html
2016,TN,8.8,563,/nchs/state-stats/states/tn.html
2016,TX,6,1669,/nchs/state-stats/states/tx.html
2016,UT,2.5,80,/nchs/state-stats/states/ut.html
2016,VT,,11,/nchs/state-stats/states/vt.html
2016,VA,5.5,455,/nchs/state-stats/states/va.html
2016,WA,2.9,216,/nchs/state-stats/states/wa.html
2016,WV,6.3,108,/nchs/state-stats/states/wv.html
2016,WI,4.8,256,/nchs/state-stats/states/wi.html
2016,WY,,17,/nchs/state-stats/states/wy.html
2015,AL,10.2,473,/nchs/state-stats/states/al.html
2015,AK,8,62,/nchs/state-stats/states/ak.html
2015,AZ,5.5,364,/nchs/state-stats/states/az.html
2015,AR,7.4,217,/nchs/state-stats/states/ar.html
2015,CA,5,1987,/nchs/state-stats/states/ca.html
2015,CO,3.7,206,/nchs/state-stats/states/co.html
2015,CT,3.6,124,/nchs/state-stats/states/ct.html
2015,DE,7.5,65,/nchs/state-stats/states/de.html
2015,District of Columbia,17.5,136,/nchs/state-stats/states/dc.html
2015,FL,6.3,1208,/nchs/state-stats/states/fl.html
2015,GA,7.3,738,/nchs/state-stats/states/ga.html
2015,HI,2.2,31,/nchs/state-stats/states/hi.html
2015,ID,2,33,/nchs/state-stats/states/id.html
2015,IL,6.9,863,/nchs/state-stats/states/il.html
2015,IN,6,389,/nchs/state-stats/states/in.html
2015,IA,2.5,73,/nchs/state-stats/states/ia.html
2015,KS,4.7,132,/nchs/state-stats/states/ks.html
2015,KY,5.8,250,/nchs/state-stats/states/ky.html
2015,LA,12.4,569,/nchs/state-stats/states/la.html
2015,ME,1.7,22,/nchs/state-stats/states/me.html
2015,MD,10.3,596,/nchs/state-stats/states/md.html
2015,MA,2.1,144,/nchs/state-stats/states/ma.html
2015,MI,6.4,597,/nchs/state-stats/states/mi.html
2015,MN,2.8,147,/nchs/state-stats/states/mn.html
